Train/Value,Time/Buffer,Train/Action_abs_mean,Train/control_penalty,Time/Actor_Time,Train/PolicyClip,Train/Grad_norm_actor,Train/policy_loss,Train/Action_magnitude_L1,Train/Entropy_Loss,Train/Ratio,Train/Policy_loss,Train/V,Train/Action_max,Train/Loss,Time/B_Original_Format_Time,Train/Return,Train/LogProb,Train/Action_std,Time/Critic_Time,Train/Action_magnitude,Time/B_Format_Time,Itr,train/batch_reward,Train/Entropy_loss,Train/recon_loss,Train/Entropy
1.7900401,0.00030803680419921875,0.6995604,1.4284025,0.01255488395690918,0.028698996,0.0,-0.150701,1.8888747,-0.0007335082292556763,1.0370591,-0.150701,1.7900401,0.6457294,-0.13715048,0.0036439895629882812,1.9194598,-1.5086114,0.6860632,0.0,1.4901994,0.0034492015838623047,29,0.035,-0.0007335082292556763,0.0,0.7335082
3.1287222,0.0003190040588378906,0.6433023,1.5823848,0.008934259414672852,0.020358313,0.0,0.104779676,1.9232721,-0.0010199717283248901,0.9080845,0.104779676,3.1287222,0.58944625,0.119583555,0.003253936767578125,2.9880373,-2.0983922,0.81574655,0.0,1.5242063,0.0035271644592285156,30,0.045,-0.0010199717283248901,0.0,1.0199717
1.7526208,0.0005102157592773438,0.72717077,1.4799255,0.010123968124389648,0.035231866,0.0,-0.101329565,1.8856866,-0.0007289864420890808,1.0508066,-0.101329565,1.7526208,0.47682562,-0.0872593,0.0033838748931884766,1.8351799,-1.5513978,0.71259505,0.0,1.514265,0.0035648345947265625,31,0.045,-0.0007289864420890808,0.0,0.72898644
1.8938498,0.0004222393035888672,0.7262384,1.4138572,0.009166717529296875,0.1170366,0.0,-0.41341743,1.8405801,-0.0007313631176948548,1.0703708,-0.41341743,1.8938498,0.50448763,-0.4000102,0.0038597583770751953,2.2612128,-1.649991,0.6618,0.0,1.4250058,0.003443002700805664,32,0.075,-0.0007313631176948548,0.0,0.7313631
2.0905144,0.0003447532653808594,0.649849,1.592067,0.010612010955810547,0.025076669,0.0,0.0081858635,1.7514038,-0.0008857378959655762,0.9622829,0.0081858635,2.0905144,0.5511229,0.023220794,0.0034880638122558594,2.0538857,-1.702565,0.80918795,9.5367431640625e-07,1.3845084,0.003506183624267578,33,0.045,-0.0008857378959655762,0.0,0.8857379
1.7016912,0.0003769397735595703,0.75703776,1.5245568,0.009915351867675781,0.04088491,0.0,-0.18352829,1.8890254,-0.0007050034999847413,1.0462894,-0.18352829,1.7016912,0.727493,-0.16898772,0.0031960010528564453,1.8822236,-1.6169794,0.67853284,0.0,1.4728897,0.0033359527587890625,34,0.065,-0.0007050034999847413,0.0,0.7050035
1.8462006,0.00036597251892089844,0.79593194,1.6668776,0.010832071304321289,0.059633188,0.0,-0.11581383,2.174387,-0.0005933945178985596,1.0422293,-0.11581383,1.8462006,0.5727528,-0.09973845,0.003426074981689453,1.9539082,-1.3867003,0.71818435,7.152557373046875e-07,1.7241849,0.003448009490966797,35,0.05,-0.0005933945178985596,0.0,0.5933945
1.7280531,0.00035691261291503906,0.71244615,1.5059309,0.009269952774047852,0.0425297,0.0,0.019465892,1.9323627,-0.0005299289226531982,0.9355162,0.019465892,1.7280531,0.7449182,0.03399527,0.0033919811248779297,1.6950032,-1.3163064,0.72564244,0.0,1.5650089,0.0033388137817382812,36,0.03,-0.0005299289226531982,0.0,0.5299289
1.4377098,0.0004239082336425781,0.5464505,1.2965064,0.009633064270019531,0.017805286,0.0,-0.16070718,1.6594936,-0.00067902672290802,1.0071577,-0.16070718,1.4377098,0.7062241,-0.14842114,0.0035851001739501953,1.59083,-1.4313688,0.6536344,0.0,1.3095593,0.003498077392578125,37,0.055,-0.00067902672290802,0.0,0.6790267
1.8851913,0.0004818439483642578,0.6792584,1.3394377,0.009250640869140625,0.020588106,0.0,-0.11767732,1.823105,-0.0006021659970283508,1.0257021,-0.11767732,1.8851913,0.81629485,-0.10488511,0.0033979415893554688,1.9836447,-1.4582547,0.6263071,0.0,1.4359336,0.0036001205444335938,38,0.05,-0.0006021659970283508,0.0,0.602166
